曲名,難易度,STDORDX,スコア
時計の国のジェミニ,MAS,DX,882876
ほしぞらスペクタクル,MAS,DX,948247
Stardust Memories,MAS,DX,982413
GRÄNDIR,MAS,DX,978602
Axeria,MAS,STD,875992
Streak,MAS,STD,992857
Turn around,MAS,STD,993279
Link,MAS,STD,998383
Life Feels Good,MAS,STD,984686
We Gonna Party,MAS,STD,976924
MYTHOS,MAS,STD,951446
四月の雨,MAS,STD,965949
CITRUS MONSTER,MAS,STD,913873
D✪N’T  ST✪P  R✪CKIN’,MAS,STD,968365
Imitation:Loud Lounge,MAS,STD,1003168
Get Happy,MAS,STD,984256
System “Z”,MAS,STD,934120
Mare Maris,MAS,STD,979115
魔ジョ狩リ,MAS,DX,984558
Signature,MAS,STD,989218
Caliburne ～Story of the Legendary sword～,MAS,STD,928357
Acceleration,MAS,STD,994902
Moon of Noon,MAS,STD,892865
Beat of getting entangled,MAS,STD,989311
Fragrance,MAS,STD,885161
Blows Up Everything,MAS,DX,957167
Revive The Rave,MAS,STD,975510
HERA,MAS,STD,958127
系ぎて,MAS,DX,834564
いちげき！のテーマ,MAS,DX,994907
STARTLINER,MAS,DX,1008677
Splash Dance!!,MAS,DX,996954
STARRED HEART,MAS,DX,979687
Transcend Lights,MAS,DX,1007866
撩乱乙女†無双劇,MAS,DX,982600
最っ高のエンタメだ!!,MAS,DX,998537
ポケットからぬりつぶせ！,MAS,DX,984875
Resolution,MAS,DX,988137
タテマエと本心の大乱闘,MAS,DX,999533
ぱくぱく☆がーる,MAS,DX,939603
まっすぐ→→→ストリーム！,MAS,DX,1001486
Radiance,MAS,DX,986723
R'N'R Monsta,MAS,DX,963979
美夜月鏡,MAS,DX,973689
Ai C,MAS,DX,963943
Apollo,MAS,DX,877638
Last Kingdom,MAS,DX,999705
LiftOff,MAS,DX,933043
See The Light,MAS,DX,962208
エータ・ベータ・イータ,MAS,DX,944964
"Good bye, Merry-Go-Round.",MAS,DX,908229
Don't Fight The Music,MAS,DX,939319
Snow Colored Score,MAS,DX,1004220
『ウソテイ』 ～一回戦せりなvsしろなvsなずな～,MAS,DX,960665
brilliant better,MAS,STD,1002860
フォルテシモBELL,MAS,STD,989524
Tic Tac DREAMIN’,MAS,STD,1007697
